"sku","fnsku","asin","商品名","商品グループ","ブランド","フルフィルメント","価格","販売価格","一番長い辺","中間の辺","一番短い辺","長さと周囲の寸法","商品の寸法","商品パッケージの重量","商品重量","通貨","手数料見積り額","販売手数料見積り額(個数あたり)","カテゴリー別成約料見積り額","出荷作業手数料見積り額（個数あたり）","発送重量手数料の見積り額（個数あたり）","配送代行手数料見積り額（個数あたり）"
"HI-TG46-Q9JP","X0013H4DYN","B0BY6YDY6Y","[enbihouse] 【Smart-Bear】T014 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ブルー, XXXL)","Apparel","enbihouse","Amazon","2980.00","2980.00","28.0","23.0","2.0","78.0","centimeters","230.02","grams","JPY","676.00","358.00","0.00","--","--","318.00"
"4N-TS1E-URLE","X0013H4DYD","B0BY6ZD96C","[enbihouse] 【Smart-Bear】T014 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (グリーン, M)","Apparel","enbihouse","Amazon","2980.00","2980.00","28.0","23.0","2.0","78.0","centimeters","159.98","grams","JPY","676.00","358.00","0.00","--","--","318.00"
"KZ-L0ZF-BAIE","X0013H4DY3","B0BY6XXLKC","[enbihouse] 【Smart-Bear】T014 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ホワイト, XL)","Apparel","enbihouse","Amazon","2980.00","2980.00","28.0","23.0","2.0","78.0","centimeters","199.99","grams","JPY","676.00","358.00","0.00","--","--","318.00"
"VA-NOZU-9KO4","X0013H4DXT","B0BY715356","[enbihouse] 【Smart-Bear】T014 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (グリーン, XXXL)","Apparel","enbihouse","Amazon","2980.00","2980.00","28.0","23.0","2.0","78.0","centimeters","230.02","grams","JPY","676.00","358.00","0.00","--","--","318.00"
"D5-1VCC-BVAW","X0012LW8HT","B0BNGCVS2B","【Smart-Bear】W602 スノーボード スキー ソックス スキー 靴下 段階着圧設計 防寒 抗菌防臭 吸汗速乾 保温 厚手 ウィンタースポーツ バイク レジャー 登山用 冬用靴下 女性 レディース 2足セット (M：22~25cm, A)","Apparel","Generic","Amazon","1780.00","1780.00","26.3","16.2","7.7","74.1","centimeters","260.0","grams","JPY","699.00","214.00","0.00","--","--","485.00"
"WN-Q3B5-M7JW","X0012D6KD5","B0BLKV154N","【Smart-Bear】W502 スポーツソックス プロ用スキーソックス 子供用 厚手のニット 冬用 登山 遠足 スポーツソックス 男の子 女の子 2足入り (S(7-12歳), A)","Apparel","Generic","Amazon","1680.00","1680.00","28.0","23.0","3.0","80.0","centimeters","199.99","grams","JPY","520.00","202.00","0.00","--","--","318.00"
"AI-F2Z3-MENO","X0012D6KCV","B0BLKSVLLV","【Smart-Bear】W502 スポーツソックス プロ用スキーソックス 子供用 厚手のニット 冬用 登山 遠足 スポーツソックス 男の子 女の子 2足入り (XS(4-7歳), D)","Apparel","Generic","Amazon","1680.00","1680.00","28.0","23.0","3.0","80.0","centimeters","199.99","grams","JPY","520.00","202.00","0.00","--","--","318.00"
"0W-EVIV-L8EC","X0012D52RZ","B0BLKXQ747","【Smart-Bear】W502 スポーツソックス プロ用スキーソックス 子供用 厚手のニット 冬用 登山 遠足 スポーツソックス 男の子 女の子 2足入り (XS(4-7歳), B)","Apparel","Generic","Amazon","1680.00","1680.00","28.0","23.0","3.0","80.0","centimeters","199.99","grams","JPY","520.00","202.00","0.00","--","--","318.00"
"HW-5LZP-Q60U","X0012D52RP","B0BLKW97Q3","【Smart-Bear】W502 スポーツソックス プロ用スキーソックス 子供用 厚手のニット 冬用 登山 遠足 スポーツソックス 男の子 女の子 2足入り (S(7-12歳), D)","Apparel","Generic","Amazon","1680.00","1680.00","28.0","23.0","3.0","80.0","centimeters","199.99","grams","JPY","520.00","202.00","0.00","--","--","318.00"
"MB-IMUI-M887","X0012D1OYF","B0BLKRRWV3","【Smart-Bear】W503 スポーツソックス プロ用スキーソックス 子供用 厚手のニット 冬用 登山 遠足 スポーツソックス 男の子 女の子 2足入り (S(7-12歳), ブルー)","Apparel","Generic","Amazon","1680.00","1680.00","28.0","23.0","3.0","80.0","centimeters","199.99","grams","JPY","520.00","202.00","0.00","--","--","318.00"
