"返品日","注文番号","出品者SKU","ASIN","FNSKU","商品名","数量","FC","商品の状態","理由","lpn","お客様のコメント"
"2022-04-02T11:44:22+09:00","249-9418466-9935860","JQ-MLRE-AH9L","B07C7NS57M","X000YPEOAN","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ","1","KIX4","販売可","受取人不明のため配送不可","LPNOS069248360",
"2022-03-25T15:07:46+09:00","503-5439238-7799853","7X-XMTH-ED40","B07SVL7M3S","X000RRDNGJ","【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 ","1","NRT5","販売可","アパレル商品 - サイズが小さすぎる","LPNOS063636949","身長123cm、痩せ型のため、XLを購入。 冬のコート、薄いリュクの上から着用しましたが、前のボタンファスナー閉まらず。ランドセルはとうてい無理と判断してワンサイズ上を買い直したいです。"
"2022-03-15T16:36:07+09:00","250-2509172-8155059","Q0-HG8U-P1E5","B089YBYJDS","X000UXXDJR","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・","1","NRT5","欠陥品・不良品","間違ったスタイル/サイズ/色を注文してしまった","LPNOS063709019","サイズが小さい"
"2022-03-10T11:16:15+09:00","503-2939038-1928654","8Q-579N-RMNK","B07C76HLX1","X000YPEK2Z","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ","1","KIX4","販売可","受取人不明のため配送不可","LPNOS066463912",
"2022-03-05T15:51:57+09:00","249-0381826-7027846","D5-BQDA-9KSD","B07ZMFZTN4","X000YPES0T","【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バー","1","HND3","カスタマーによる損傷","ウェブサイトの説明と違う","LPNOS068481315",
"2022-03-03T11:48:47+09:00","503-5501558-8523844","M9-RIG5-DRKF","B07SV1BD6S","X000RU9VA3","【Smart-Bear】W101 立体 可愛い動物柄 通学 通園 靴下 キッズ ソックス 女の子 ソックス カラーフル 5足セット (L)","1","HND3","配送業者による損傷","受け取り拒否のため配送不可","LPNOS065817230",
"2022-03-03T04:33:32+09:00","503-1492083-0874260","CR-UG42-OR8Z","B07SSDVJYF","X000RQCC3P","【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 ","1","NRT5","DAMAGED","欠陥品・不良品","LPNOS062967525",
"2022-03-03T04:33:32+09:00","503-1492083-0874260","3N-Y4NV-OZB5","B089WHDBNT","X000UXVO4X","[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・","1","NRT5","販売可","欠陥品・不良品","LPNOS062967524","足を入れる筒部分が潰れており、その形のまま戻らないため。"
"2022-02-25T15:53:54+09:00","250-6638364-4367847","IR-I1X3-ET6M","B07S4K7DXF","X000YPFV3R","【Smart-KM】C034 ミニ充電器 アップルウォッチ充電器 置くだけ充電パッド 急速充電対応 Wireless PowerPort ワイヤレス","1","HND3","カスタマーによる損傷","欠陥品・不良品","LPNOS067804784",
"2022-02-22T15:56:49+09:00","249-4939360-3354205","8Q-VTYS-YQ5Z","B07RNDQ5S7","X000RMJ4KD","【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)","1","NRT5","DAMAGED","アパレル商品 - サイズが小さすぎる","LPNOS062870558",
