"ASIN","fnsku","商品名","Fulfillment center","Country code","Longest side","Median side","Shortest side","Measurement units","weight","Weight units","Item volume","Volume units","Product size tier","Average quantity on hand","Average quantity pending removal","Total item volume (est.)","Month of charge","Storage rate","通貨","Monthly storage fee (est.)","category","Total Incentive Amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B07RNDQ5S7","X000RMJ4KD","[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)","KIX3","JP","21.6","8.8","4.6","centimeters","0.16","kilograms","9.0E-4","cubic meters","Standard-Size","0.1","0.0","1.0E-4","2023-08","2818.0","JPY","0.1611","Clothing","0.0","--","0.03"
"B07ZDCLLB7","X000SYFST1","[Smart-Bear] P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (100cm, ピンク花柄)","KIX3","JP","26.0","18.6","3.8","centimeters","0.3","kilograms","0.0018","cubic meters","Standard-Size","1.0","0.16","0.0015","2023-08","2818.0","JPY","4.4011","Clothing","0.0","--","0.0"
"B07ZDDV5G7","X000SYG7K5","【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (90cm, Best layers)","KIX3","JP","26.0","18.6","3.6","centimeters","0.3","kilograms","0.0017","cubic meters","Standard-Size","1.0","0.0","0.0017","2023-08","2818.0","JPY","4.9713","Clothing","0.0","--","0.0"
"B07ZDFBP7C","X000SYGL3X","[Smart-Bear] P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (130cm, グレー花柄)","KIX3","JP","26.0","18.6","3.8","centimeters","0.38","kilograms","0.0018","cubic meters","Standard-Size","1.0","0.16","0.0015","2023-08","2818.0","JPY","4.4011","Clothing","0.0","--","0.0"
"B089WG5M44","X000UXVQ0F","[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (イエロー, measurement_21_point_0_centimeters)","KIX3","JP","23.0","20.0","7.0","centimeters","0.56","kilograms","0.0032","cubic meters","Standard-Size","0.39","0.0","0.0012","2023-08","2818.0","JPY","4.0","Shoes","0.0","--","0.0"
"B098DVR5NR","X000Y4RKFF","[smally] 【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, XL)","KIX3","JP","20.8","16.8","2.4","centimeters","0.18","kilograms","8.0E-4","cubic meters","Standard-Size","0.03","0.0","0.0","2023-08","2818.0","JPY","0.0773","Clothing","0.0","--","0.0"
"B07C7JX67Y","X000YPFN7L","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ホワイト)","KIX3","JP","19.81","11.68","2.54","centimeters","0.06","kilograms","6.0E-4","cubic meters","Standard-Size","0.71","0.0","4.0E-4","2023-08","2818.0","JPY","1.191","Clothing","0.0","--","0.0"
"B077VSSXJX","X000R151AV","【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ホワイト, M)","KIX4","JP","30.39","22.8","3.6","centimeters","0.3","kilograms","0.0025","cubic meters","Standard-Size","2.0","0.0","0.005","2023-08","2818.0","JPY","14.055","Clothing","0.0","--","0.0"
"B077VTPBC2","X000R151B5","【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ブラック, M)","KIX4","JP","25.0","15.0","2.5","centimeters","0.28","kilograms","9.0E-4","cubic meters","Standard-Size","3.0","0.0","0.0028","2023-08","2818.0","JPY","7.9236","Clothing","0.0","--","0.0"
"B07RRCXLD1","X000R1AUDJ","【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ 綿 お風呂 プール ベビー 便利 柔らかい コットンバスタオル 鰐 ワニ 一角獣 ユニコーン (ワニ)","KIX4","JP","26.92","22.61","4.0","centimeters","0.29","kilograms","0.0024","cubic meters","Standard-Size","2.0","0.0","0.0049","2023-08","2818.0","JPY","13.7182","Clothing","0.0","--","0.0"
"B07RSBWQL8","X000RI8J0D","[Smart-Bear] T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (S, グレー)","KIX4","JP","24.19","24.0","3.6","centimeters","0.14","kilograms","0.0021","cubic meters","Standard-Size","1.0","0.0","0.0021","2023-08","2818.0","JPY","5.8882","Clothing","0.0","--","0.0"
"B077V63T99","X000RI8KQL","【Smart-KM】T002 韓国enbihouseレインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ペンギン, XXL)","KIX4","JP","29.39","25.0","1.39","centimeters","0.22","kilograms","0.001","cubic meters","Standard-Size","1.0","0.0","0.001","2023-08","2818.0","JPY","2.8773","Clothing","0.0","--","0.0"
