"Amazon 出品サービス、フルフィルメント by Amazon (FBA) "
"指定のない場合、単位は円"
"定義："
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計"
"2023/03/02 10:54:58 JST","11349631063","注文","250-6603398-6638220","JC-9CLM-Q8BL","【Smart-KM】G022 モニター台 机上台 モニタースタンド 4 USBポート付き キーボード収納 アルミ合金製ブラケット デ","1","amazon.jp","Amazon","","東京都","190-0013","","2,709.00","271.00","0","0","0","0","0","0","0","0","-492.00","-815.00","0","0","1,673.00"
"2023/03/02 11:44:36 JST","11349631063","注文","503-2965753-7351062","MZ-Z063-LUOE","[Smart-Bear] T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊","1","amazon.jp","Amazon","","神奈川県","233-0004","","1,982.00","198.00","0","0","0","0","-22.00","0","0","0","-285.00","-318.00","0","0","1,555.00"
"2023/03/02 11:55:34 JST","11349631063","注文","249-3861509-3827822","DU-P06F-VJBB","【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の?","1","amazon.jp","Amazon","","香川県","769-0303","","2,164.00","216.00","373.00","37.00","0","0","0","-373.00","-37.00","0","-315.00","-318.00","0","0","1,747.00"
"2023/03/02 12:26:04 JST","11349631063","注文","249-2708830-1343814","O6-48G1-BEO9","【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バー?","1","amazon.jp","出品者","","神奈川県","243-0121","","1,164.00","116.00","0","0","0","0","0","0","0","0","-634.00","0","0","0","646.00"
"2023/03/02 13:14:47 JST","11349631063","注文","249-6508897-0627851","8Y-B81U-KU22","【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, S)","2","amazon.jp","Amazon","","兵庫県","661-0974","","3,236.00","324.00","0","0","0","0","-36.00","-162.00","-16.00","0","-442.00","-636.00","0","0","2,268.00"
"2023/03/02 13:34:39 JST","11349631063","注文","250-8165253-8328639","JF-8TCP-BT89","【Smart-Bear】W601 スノーボード スキー ソックス スキー 靴下 段階着圧設計 防寒 抗菌防臭 吸汗速乾 保温 厚手 ウ?","1","amazon.jp","Amazon","","東京都","203-0032","","1,618.00","162.00","0","0","0","0","-18.00","0","0","0","-232.00","-434.00","0","0","1,096.00"
"2023/03/02 16:24:07 JST","11349631063","注文","503-8117573-2978231","JQ-MLRE-AH9L","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ?","1","amazon.jp","Amazon","","千葉県","271-0068","","653.00","65.00","0","0","0","0","0","0","0","0","-95.00","-193.00","0","0","430.00"
"2023/03/02 16:41:43 JST","11349631063","注文","250-9172605-0488658","C8-VY3A-HL06","[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (M)","1","amazon.jp","Amazon","","岐阜県","507-0076","","1,436.00","144.00","0","0","0","0","-16.00","0","0","0","-207.00","-434.00","0","0","923.00"
"2023/03/02 19:11:50 JST","11349631063","注文","250-2610807-4817409","91-7A3K-7U8I","[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (S)","1","amazon.jp","Amazon","","東京都","180-0006","","1,255.00","125.00","0","0","0","0","-14.00","0","0","0","-180.00","-434.00","0","0","752.00"
"2023/03/03 10:16:23 JST","11349631063","注文","249-0500295-4239845","AU-FN03-HI94","【Smart-Bear】O022 Kindle Paperwhite(第10世代 2018年) ケース 超薄 軽量 保護カバー オートスリープ機能付き 耐久性 耐衝","1","amazon.jp","出品者","","宮城県","981-3222","","908.00","91.00","0","0","0","0","-10.00","0","0","0","-109.00","0","0","0","880.00"
"2023/03/03 11:05:03 JST","11349631063","注文","249-2404660-2339008","9G-33E6-R3JX","[Smart-Bear] T309 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・?","1","amazon.jp","Amazon","","大阪府","563-0258","","2,345.00","235.00","0","0","0","0","-26.00","0","0","0","-337.00","-514.00","0","0","1,703.00"
"2023/03/03 11:09:15 JST","11349631063","注文","503-3777338-1319006","JQ-MLRE-AH9L","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ?","1","amazon.jp","Amazon","","東京都","151-0051","","653.00","65.00","0","0","0","0","0","0","0","0","-95.00","-193.00","0","0","430.00"
"2023/03/03 14:03:27 JST","11349631063","FBA Customer Return Fee","503-8511603-0647820","X000WRDZ71","購入者返品作業手数料","","Amazon.co.jp","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023/03/03 14:36:29 JST","11349631063","注文","503-5937240-8408645","LR-3KLG-FCBD","[Smart-KM] S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セッ?","1","amazon.jp","Amazon","","東京都","170-0002","","825.00","83.00","0","0","0","0","0","0","0","0","-120.00","-205.00","0","0","583.00"
"2023/03/03 15:50:42 JST","11349631063","注文","250-8997197-1806251","IR-I1X3-ET6M","【Smart-KM】C034 ミニ充電器 アップルウォッチ充電器 置くだけ充電パッド 急速充電対応 Wireless PowerPort ワイヤレス","1","amazon.jp","Amazon","","滋賀県","523-0032","","908.00","91.00","0","0","0","0","-10.00","0","0","0","-87.00","-288.00","0","0","614.00"
"2023/03/03 16:57:01 JST","11349631063","注文","503-3007427-2006220","C8-VY3A-HL06","[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (M)","1","amazon.jp","Amazon","","東京都","192-0913","","1,436.00","144.00","0","0","0","0","-16.00","0","0","0","-207.00","-434.00","0","0","923.00"
"2023/03/03 17:07:54 JST","11349631063","注文","250-6409659-1467810","JQ-MLRE-AH9L","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ?","1","amazon.jp","Amazon","","茨城県","317-0052","","653.00","65.00","0","0","0","0","0","0","0","0","-95.00","-193.00","0","0","430.00"
"2023/03/03 17:08:49 JST","11349631063","注文","249-9422046-9065419","JQ-MLRE-AH9L","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ?","1","amazon.jp","Amazon","","神奈川県","224-0006","","653.00","65.00","0","0","0","0","0","0","0","0","-95.00","-193.00","0","0","430.00"
