"商品","ステータス","タイプ","スポンサープロダクト広告の利用資格","売上(JPY)","ROAS","コンバージョン率","インプレッション数","クリック数","クリック率  (CTR）","広告費(JPY)","平均クリック単価 (CPC)(JPY)","注文","ACOS","新規顧客の注文","新規顧客の注文比率","新規顧客の売上(JPY)","新規顧客の売上比率","ビューアブルインプレッション"
"B077TYSS5Q-OO-N5NC-53SV","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TZ3C52-7S-9Z7A-9N5X","","","利用資格あり","0.00","0.00","0.0000","96","1","0.0104","1.20","1.20","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TZ3C77-SM-SOZD-YCO1","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TZ52JJ-8I-ZLSJ-AKO0","","","利用資格あり","0.00","0.00","0.0000","23","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TZ5B3P-VI-FGWQ-U4JQ","","","利用資格あり","0.00","0.00","0.0000","24","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TZ6DMJ-8J-B84R-9FQ8","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077TZR4R8-G3-7VTX-A8HN","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V12V15-ZX-E3Z1-XZXW","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V15CP2-ST-QL51-1O4P","","","利用資格あり","0.00","0.00","0.0000","30","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V1NWKX-84-R9G1-922E","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V1SGCV-NW-P04L-6P5F","","","利用資格あり","0.00","0.00","0.0000","24","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V1SGXY-SK-DONL-JYYY","","","利用資格あり","0.00","0.00","0.0000","77","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V2FCXS-9W-X2Z4-B0TS","","","利用資格あり","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V2RBZC-UM-5DK5-4OOK","","","利用資格あり","0.00","0.00","0.0000","10","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V31B1F-S9-WMSI-0XRG","","","利用資格あり","0.00","0.00","0.0000","9","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V3BSHD-T2-P821-U7AD","","","利用資格あり","0.00","0.00","0.0000","8","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V3QCKG-QO-FHC9-QIWP","","","利用資格あり","0.00","0.00","0.0000","18","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V4KGYG-OZ-CR1T-VCNN","","","利用資格あり","0.00","0.00","0.0000","21","1","0.0476","4.00","4.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V547KW-3I-5YMQ-78CH","","","利用資格あり","0.00","0.00","0.0000","30","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V5TP9Z-9F-8GXS-MQIG","","","利用資格あり","0.00","0.00","0.0000","89","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V63T99-3L-RKNM-171N","","","利用資格あり","0.00","0.00","0.0000","6","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077V65KJV-YK-QIKK-R32H","","","利用資格あり","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077VSN4H6-YV-GX4F-U1JK","","","広告配信の利用資格なし","0.00","0.00","0.0000","46","1","0.0217","1.30","1.30","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077VSSFGH-B1-V2N2-J8BN","","","利用資格あり","0.00","0.00","0.0000","25","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077VSSXJX-O5-VCC0-95D9","","","利用資格あり","0.00","0.00","0.0000","14","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077VSVXYC-M9-CRQJ-1EUU","","","利用資格あり","0.00","0.00","0.0000","24","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077VT3Z3N-U0-2W5T-JP0A","","","広告配信の利用資格なし","0.00","0.00","0.0000","40","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077VTPBC2-PK-LF7F-7NQF","","","利用資格あり","0.00","0.00","0.0000","49","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077VVKF43-ML-8QBG-3WLZ","","","利用資格あり","0.00","0.00","0.0000","33","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077VWS1WM-6I-0H96-18IA","","","広告配信の利用資格なし","0.00","0.00","0.0000","4","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077VYDWWP-MH-OWU7-QZ6B","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077WJ3XKY-6H-040M-0Z6H","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B077WKV76K-O6-48G1-BEO9","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0782N7XDJ-9Y-JT9A-8XY3","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0782PTKL2-AT-Q90Z-740H","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0782RGD4B-7X-VY3C-UC8R","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0782T4WWX-Y3-VNGR-5K0V","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0782TQTTP-AK-S238-Z893","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0782TSXGW-PY-J89Y-G729","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0782VLBQ7-3S-5LM9-29LD","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0782YMNPM-A7-JDDC-6AWM","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0784YYFKX-6Z-HWUF-VHZ9","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0785671P8-EV-TGZ8-084V","","","利用資格あり","0.00","0.00","0.0000","57","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0786KYY7Y-LS-09E0-R73C","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07C76HLX1-8Q-579N-RMNK","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07C76HMBS-EC-FOVX-FOBJ","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07C7JX67Y-97-W48L-K89A","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07C7KGKBH-HM-5URZ-2K38","","","表示できるデータがありません","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07C7NS57M-JQ-MLRE-AH9L","","","利用資格あり","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07C7PVL42-T8-FSOJ-B0V1","","","広告配信の利用資格なし","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07K5QMCP2-EQ-E9S7-QXE3","","","利用資格あり","0.00","0.00","0.0000","129","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07K5QW4S4-X8-CEJ2-IGKF","","","利用資格あり","0.00","0.00","0.0000","139","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07K5R541S-LG-ANQR-6C9P","","","利用資格あり","0.00","0.00","0.0000","44","1","0.0227","4.00","4.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07K5RJJTC-36-537G-65QK","","","利用資格あり","0.00","0.00","0.0000","36","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07K5RYSRY-HB-E5PD-U2WL","","","利用資格あり","0.00","0.00","0.0000","111","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07K5S1K82-9L-84XW-ZW1C","","","利用資格あり","0.00","0.00","0.0000","82","1","0.0122","3.90","3.90","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07K5S245H-B5-LEZJ-XOXC","","","利用資格あり","0.00","0.00","0.0000","54","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07K5S3KNK-X8-MI20-UUAX","","","利用資格あり","0.00","0.00","0.0000","152","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07K5S3Q81-RX-2HFK-D2O4","","","利用資格あり","0.00","0.00","0.0000","87","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07K5S4TZ9-MO-6NAH-GNZ6","","","利用資格あり","0.00","0.00","0.0000","19","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07K5S9ZFC-N9-GB8J-KI9M","","","利用資格あり","0.00","0.00","0.0000","61","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07K5SBZLJ-E5-S2IA-ES96","","","利用資格あり","0.00","0.00","0.0000","117","1","0.0085","3.77","3.77","0","0.0000","0","0.0000","0.00","0.0000","0"
