"ASIN","fnsku","商品名","Fulfillment center","Country code","Longest side","Median side","Shortest side","Measurement units","weight","Weight units","Item volume","Volume units","Product size tier","Average quantity on hand","Average quantity pending removal","Total item volume (est.)","Month of charge","Storage rate","通貨","Monthly storage fee (est.)","category","Total Incentive Amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B07ZDFFCRN","X000SYH8JT","【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (100cm, ピンクペンギン)","HND9","JP","26.0","18.6","3.6","centimeters","0.3","kilograms","0.0017","cubic meters","Standard-Size","1.0","0.0","0.0017","2022-09","2818.0","JPY","4.8915","Clothing","0.0","--","0.0"
"B07ZDCY8YD","X000SYH8K3","【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (110cm, ピンク森)","HND9","JP","26.0","18.6","3.6","centimeters","0.3","kilograms","0.0017","cubic meters","Standard-Size","1.0","0.0","0.0017","2022-09","2818.0","JPY","4.8915","Clothing","0.0","--","0.0"
"B088D9QHN4","X000UNOU2L","【Smart-Bear】W023 夏 ベビー 幼児用 キッズ 子供 靴下 男の子 女の子 かわいい スポーツ 無地 通気 5足セット (笑い顔, M:13?15cm(3-4歳))","HND9","JP","17.6","8.4","4.4","centimeters","0.1","kilograms","7.0E-4","cubic meters","Standard-Size","1.0","0.0","7.0E-4","2022-09","2818.0","JPY","1.8277","Clothing","0.0","--","0.0"
"B07RTHQ2KZ","X000RJ3OBB","【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ブルー, XL)","HSG1","JP","29.39","24.0","2.39","centimeters","0.26","kilograms","0.0017","cubic meters","Standard-Size","1.0","0.0","0.0017","2022-09","2818.0","JPY","4.5252","Clothing","0.0","--","0.0"
"B07RRD55DH","X000RJLK1R","【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ 綿 お風呂 プール ベビー 便利 柔らかい コットンバスタオル 鰐 ワニ 一角獣 ユニコーン (ユニコーン)","HSG1","JP","26.16","24.13","4.0","centimeters","0.29","kilograms","0.0025","cubic meters","Standard-Size","0.8","0.0","0.002","2022-09","2818.0","JPY","5.4222","Clothing","0.0","--","0.0"
"B07C7NS57M","X000YPEOAN","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ブラック)","HSG1","JP","19.81","11.68","2.54","centimeters","0.06","kilograms","6.0E-4","cubic meters","Standard-Size","0.03","0.0","0.0","2022-09","2818.0","JPY","0.0526","Clothing","0.0","--","0.0"
"B07RQ5TWY8","X000RJ3N2B","【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (L, ピンク)","KIX1","JP","29.56","24.37","2.39","centimeters","0.38","kilograms","0.0017","cubic meters","Standard-Size","0.03","0.0","1.0E-4","2022-09","2818.0","JPY","0.1637","Clothing","0.0","--","0.0"
"B07RQ5N9DN","X000RJJNMZ","【Smart-bear】T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (XL, ピンク)","KIX1","JP","24.19","24.0","3.6","centimeters","0.14","kilograms","0.0021","cubic meters","Standard-Size","1.0","0.0","0.0021","2022-09","2818.0","JPY","5.9599","Clothing","0.0","--","0.0"
"B07RP7495M","X000RKI7G7","【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (M, グリーン)","KIX1","JP","29.56","24.37","2.39","centimeters","0.38","kilograms","0.0017","cubic meters","Standard-Size","1.0","0.0","0.0017","2022-09","2818.0","JPY","4.9096","Clothing","0.0","--","0.0"
"B089Y6YY1T","X000UXXD6P","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (グリーン, measurement_20_point_0_centimeters)","KIX1","JP","27.8","21.8","8.2","centimeters","0.58","kilograms","0.005","cubic meters","Standard-Size","0.47","0.0","0.0023","2022-09","2818.0","JPY","7.0","Shoes","0.0","--","0.0"
"B0782T4WWX","X000WRDZ71","【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, S)","KIX1","JP","31.0","24.5","1.0","centimeters","0.1","kilograms","8.0E-4","cubic meters","Standard-Size","0.03","0.0","0.0","2022-09","2818.0","JPY","0.0722","Clothing","0.0","--","0.0"
"B098DVR5NR","X000Y4RKFF","【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, XL)","KIX1","JP","20.8","16.8","2.4","centimeters","0.18","kilograms","8.0E-4","cubic meters","Standard-Size","1.0","0.0","8.0E-4","2022-09","2818.0","JPY","2.3915","Clothing","0.0","--","0.0"
"B098DWYX41","X000Y4RKFP","【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, XL)","KIX1","JP","20.8","16.8","2.4","centimeters","0.18","kilograms","8.0E-4","cubic meters","Standard-Size","1.0","0.0","8.0E-4","2022-09","2818.0","JPY","2.3915","Clothing","0.0","--","0.0"
"B07C7NS57M","X000YPEOAN","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ブラック)","KIX1","JP","19.81","11.68","2.54","centimeters","0.06","kilograms","6.0E-4","cubic meters","Standard-Size","0.1","0.0","0.0","2022-09","2818.0","JPY","0.1117","Clothing","0.0","--","0.03"
"B077WKV76K","X000YPEU5R","【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バージョン全適応） (深いブルー)","KIX2","JP","17.2","13.6","1.8","centimeters","0.08","kilograms","4.0E-4","cubic meters","Standard-Size","0.4","0.07","1.0E-4","2022-09","4691.0","JPY","1.0","Others","0.0","--","0.0"
"B077VSSXJX","X000R151AV","【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ホワイト, M)","KIX3","JP","30.39","22.8","3.6","centimeters","0.3","kilograms","0.0025","cubic meters","Standard-Size","0.23","0.0","6.0E-4","2022-09","2818.0","JPY","1.6649","Clothing","0.0","--","0.0"
"B07RP5YSYZ","X000RJ3OC5","【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, M)","KIX3","JP","29.39","24.0","2.39","centimeters","0.26","kilograms","0.0017","cubic meters","Standard-Size","0.7","0.0","0.0012","2022-09","2818.0","JPY","3.3755","Clothing","0.0","--","0.0"
"B07RNDMDMY","X000RJN8F3","【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)","KIX3","JP","17.8","8.19","4.4","centimeters","0.34","kilograms","6.0E-4","cubic meters","Standard-Size","0.07","0.0","0.0","2022-09","2818.0","JPY","0.1223","Clothing","0.0","--","0.0"
"B07ZDCLLB7","X000SYFST1","【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (100cm, ピンク花柄)","KIX3","JP","26.0","18.6","3.8","centimeters","0.3","kilograms","0.0018","cubic meters","Standard-Size","1.0","0.0","0.0018","2022-09","2818.0","JPY","5.2566","Clothing","0.0","--","0.0"
"B07ZDFBP7C","X000SYGL3X","【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (130cm, グレー花柄)","KIX3","JP","26.0","18.6","3.8","centimeters","0.38","kilograms","0.0018","cubic meters","Standard-Size","1.0","0.0","0.0018","2022-09","2818.0","JPY","5.2566","Clothing","0.0","--","0.0"
"B0782T4WWX","X000WRDZ71","【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, S)","KIX3","JP","31.0","24.5","1.0","centimeters","0.1","kilograms","8.0E-4","cubic meters","Standard-Size","0.3","0.0","2.0E-4","2022-09","2818.0","JPY","0.6518","Clothing","0.0","--","0.0"
"B07C7NS57M","X000YPEOAN","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ブラック)","KIX3","JP","19.81","11.68","2.54","centimeters","0.06","kilograms","6.0E-4","cubic meters","Standard-Size","0.07","0.0","0.0","2022-09","2818.0","JPY","0.056","Clothing","0.0","--","0.03"
"B07C7JX67Y","X000YPFN7L","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ホワイト)","KIX3","JP","19.81","11.68","2.54","centimeters","0.06","kilograms","6.0E-4","cubic meters","Standard-Size","0.33","0.0","2.0E-4","2022-09","2818.0","JPY","0.5604","Clothing","0.0","--","0.0"
"B09P8V2ZC7","X000ZN6XDP","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (三色セットB)","KIX3","JP","19.8","11.4","2.6","centimeters","0.06","kilograms","6.0E-4","cubic meters","Standard-Size","0.03","0.0","0.0","2022-09","2818.0","JPY","0.056","Clothing","0.0","--","0.0"
"B077VSVXYC","X000R151AL","【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ブラック, XL)","KIX4","JP","31.5","24.5","2.0","centimeters","0.18","kilograms","0.0015","cubic meters","Standard-Size","1.57","0.0","0.0023","2022-09","2818.0","JPY","6.5234","Clothing","0.0","--","0.07"
"B077VSSXJX","X000R151AV","【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ホワイト, M)","KIX4","JP","30.39","22.8","3.6","centimeters","0.3","kilograms","0.0025","cubic meters","Standard-Size","0.63","0.0","0.0016","2022-09","2818.0","JPY","4.4512","Clothing","0.0","--","0.0"
"B077VTPBC2","X000R151B5","【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ブラック, M)","KIX4","JP","25.0","15.0","2.5","centimeters","0.28","kilograms","9.0E-4","cubic meters","Standard-Size","2.03","0.0","0.0019","2022-09","2818.0","JPY","5.283","Clothing","0.0","--","0.03"
"B077VYDWWP","X000R15J6H","【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ホワイト, XXL)","KIX4","JP","30.39","22.8","3.6","centimeters","0.3","kilograms","0.0025","cubic meters","Standard-Size","2.6","0.0","0.0065","2022-09","2818.0","JPY","18.2735","Clothing","0.0","--","0.0"
"B077VSN4H6","X000R15J6R","【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ホワイト, L)","KIX4","JP","30.39","22.8","3.6","centimeters","0.3","kilograms","0.0025","cubic meters","Standard-Size","2.3","0.0","0.0057","2022-09","2818.0","JPY","16.165","Clothing","0.0","--","0.0"
"B07RRCXLD1","X000R1AUDJ","【Smart-Bear】T101 フード付きタオル 子供用 マントバスタオル ビーチタオル 子ども 超吸収性 赤ちゃんポンチョ 綿 お風呂 プール ベビー 便利 柔らかい コットンバスタオル 鰐 ワニ 一角獣 ユニコーン (ワニ)","KIX4","JP","26.92","22.61","4.0","centimeters","0.29","kilograms","0.0024","cubic meters","Standard-Size","2.7","0.0","0.0066","2022-09","2818.0","JPY","18.5216","Clothing","0.0","--","0.0"
