"ASIN","fnsku","商品名","Fulfillment center","Country code","Longest side","Median side","Shortest side","Measurement units","weight","Weight units","Item volume","Volume units","Product size tier","Average quantity on hand","Average quantity pending removal","Total item volume (est.)","Month of charge","Storage rate","通貨","Monthly storage fee (est.)","category","Total Incentive Amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B07C76HLX1","X000YPEK2Z","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ピンク)","KIX1","JP","19.8","11.4","2.6","centimeters","0.06","kilograms","6.0E-4","cubic meters","Standard-Size","0.53","0.0","3.0E-4","2023-06","2818.0","JPY","0.844","Clothing","0.0","--","0.0"
"B07C7NS57M","X000YPEOAN","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セット (ブラック)","KIX1","JP","17.2","14.3","1.2","centimeters","0.01","kilograms","3.0E-4","cubic meters","Standard-Size","0.23","0.0","1.0E-4","2023-06","2818.0","JPY","0.1857","Clothing","0.0","--","0.0"
"B07S4K7DXF","X000YPFV3R","【Smart-KM】C034 ミニ充電器 アップルウォッチ充電器 置くだけ充電パッド 急速充電対応 Wireless PowerPort ワイヤレスチャージャー アップルウォッチ Apple iWatch シリーズ 4/3/2/1全対応 (白)","KIX1","JP","11.18","7.87","1.78","centimeters","0.05","kilograms","2.0E-4","cubic meters","Standard-Size","1.0","0.0","2.0E-4","2023-06","5160.0","JPY","1.0","Others","0.0","--","0.0"
"B07RQ5TWY8","X000RJ3N2B","[Smart-Bear] T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (L, ピンク)","KIX3","JP","29.56","24.37","2.39","centimeters","0.38","kilograms","0.0017","cubic meters","Standard-Size","0.1","0.0","2.0E-4","2023-06","2818.0","JPY","0.4769","Clothing","0.0","--","0.0"
"B07RNDP5VC","X000RJN7VX","[Smart-Bear] W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (L)","KIX3","JP","17.8","8.19","4.4","centimeters","0.34","kilograms","6.0E-4","cubic meters","Standard-Size","0.43","0.0","3.0E-4","2023-06","2818.0","JPY","0.77","Clothing","0.0","--","0.0"
"B07RRJ2MLN","X000RKL9N5","[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (S)","KIX3","JP","21.6","8.8","4.6","centimeters","0.16","kilograms","9.0E-4","cubic meters","Standard-Size","1.0","0.0","9.0E-4","2023-06","2818.0","JPY","2.4221","Clothing","0.0","--","0.0"
"B07K5RJJTC","X000RT5CCF","【Smart-KM】T005 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, XXL)","KIX3","JP","28.0","24.0","2.0","centimeters","0.16","kilograms","0.0013","cubic meters","Standard-Size","0.73","0.0","0.001","2023-06","2818.0","JPY","2.7302","Clothing","0.0","--","0.0"
"B07ZDCLLB7","X000SYFST1","[Smart-Bear] P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (100cm, ピンク花柄)","KIX3","JP","26.0","18.6","3.8","centimeters","0.3","kilograms","0.0018","cubic meters","Standard-Size","1.0","0.0","0.0018","2023-06","2818.0","JPY","5.0906","Clothing","0.0","--","0.0"
"B07ZDDV5G7","X000SYG7K5","【Smart-Bear】P001 子供用長袖パジャマ 男の子と女の子の下着子供の秋服セット綿の下着子供用コットンセーターパジャマ 丈夫で快適 綿100％ルームウェア長袖パジャマ上下セットパジャマ 2点セット子供服 長袖 寝間着 上下セット (90cm, Best layers)","KIX3","JP","26.0","18.6","3.6","centimeters","0.3","kilograms","0.0017","cubic meters","Standard-Size","1.0","0.0","0.0017","2023-06","2818.0","JPY","4.8227","Clothing","0.0","--","0.0"
"B07ZDFBP7C","X000SYGL3X","[Smart-Bear] P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホームサービス ベビー 長袖 ボタン トップス ショートパンツ 上下セット服 子供 春 秋 冬 七五三 誕生日 新年 (130cm, グレー花柄)","KIX3","JP","26.0","18.6","3.8","centimeters","0.38","kilograms","0.0018","cubic meters","Standard-Size","1.0","0.0","0.0018","2023-06","2818.0","JPY","5.0906","Clothing","0.0","--","0.0"
